Company,Founded,City,Domain,Description,Founders,Investors,Amount,Stage
Bikayi,2019,Hyderabad,E-Commerce,"['Empowering', 'SMBs', 'India']","Sonakshi Nathani, Ashutosh Singla",Sequoia Capital India,10000000,Series A
Bikry app,2019,Noida,Consumer Services,"['Bikry', 'Direct', 'Customer', 'platform', 'start']",Abhishek Bhayana,YCombinator,1300000,Undisclosed
BimaPe,2020,Mumbai,FinTech,"['BimaPe', 'demystifies', 'Insurance', 'Management', 'individuals']",Rahul Mathur,"iSeed, Titan Capital",500000,Pre-seed
Bimaplan,2020,Mumbai,Insurance,"['Affordable', 'insurance', 'billion', 'Indians']",Vikul Goyal,"Roshan Abbas, Ritesh Malik",2500000,Pre-series A
Bimaplan,2020,Mumbai,FinTech,"['Affordable', 'insurance', 'billion', 'Indians']",Vikul Goyal,"Titan Capital, Y Combinator",500000,Seed
Bincos,2022,Bengaluru,Cryptocurrency,"['Binocs', 'simplifies', 'calculation', 'crypto', 'tax']",Pankaj Garg,Better Capital and Acce,400000,Seed
Biocon Biologics,1978,Bengaluru,Biotechnology,"['biosimilars', 'Biocon', 'fully', 'integrated', 'pure']",Kiran Mazumdar-Shaw,"Goldman Sachs, Tata Capital",70000000,Undisclosed
BioPrime,2016,Pune,Biotechnology,"['Start', 'endeavor', 'bring', 'disruptive', 'innovations']","DR.AMIT SHINDE, RENUKA DIWAN, SHEKHAR BHOSALE",Inflexor Ventures and Omnivore,2600000,Seed
Bira 91,2015,New Delhi,Food & Beverages,"['refreshingly', 'modern', 'beer', 'brand', 'Imagined']",Ankur Jain,The Beer Café,283200000,SeriesD
Birdeye,2012,Gurugram,Computer Software,"['customers', 'Birdeye', 'everyday', 'attract', 'new']","Naveen Gupta, Neeraj Gupta",Accel-KKR,60000000,Series C
bitsCrunch,2020,Chennai,Blockchain,"['consulting', 'firm', 'focused', 'mainly', 'Data']",Saravanan Jaichandaran,"Covalent, Double Peak, GenBlock Capital, Ledger Prime, MEXC Global, Synaps",700000,Seed
Bizongo,2015,Mumbai,B2B E-commerce,"['Bizongo', 'India', 'largest', 'B2B', 'platform']","Sachin Agrawal, Aniket Deb, Ankit Tomar",Tiger Global,100000000,Series D
Bizongo,2015,Mumbai,B2B E-commerce,"['business', 'Bizongo', 'online', 'marketplace', 'packaging']","Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital",51000000,Series C
Bizongo,2015,Mumbai,B2B E-commerce,"['Bizongo', 'develops', 'tech', 'enabled', 'B2B']","Aniket Deb, Ankit Tomar, Sachin Agrawal",Debt Financing,265300000,Undisclosed
Black Bow,2016,New Delhi,Wine & Spirits,"['Black', 'Bow', 'India', '1st', 'Himalayan']",Shivam Ginglani,"Supermorpheus, Eagle10 Ventures",800000,Pre-series A
BlackBuck,2015,Bengaluru,Logistics,"['path', 'trucking', 'BlackBuck', 'marks', 'beginning']","B Ramasubramanian, Chanakya Hridaya, Rajesh Yabaji","Tribe Capital, IFC Emerging Asia Fund, VEF",67000000,Series E
Blackbuck,2015,Bengaluru,Logistics,"['Blackbuck', 'Indian', 'logistics', 'company', 'makes']","B Ramasubramanian, Chanakya Hridaya, Rajesh Yabaji",Multiples,364000000,Undisclosed
BlackSoil,2016,Mumbai,FinTech,"['Blacksoil', 'Advisory', 'independent', 'boutique', 'advisory']",Ankur Bansal,Awign Enterprises,4000000,Undisclosed
Blaer Motors,2014,Chennai,Mobility,"['Meant', 'augment', 'human', 'power', 'completely']",Abinesh Ekambaram,The Chennai Angels,300000,Undisclosed
BlissClub,2019,Bengaluru,Fashion,"['BlissClub', 'community', 'women', 'activewear', 'brand']",Minu Margeret,Sumer Juneja and Eight Roads Ventures,17300000,Undisclosed
BlissClub,2020,Bengaluru,Fashion ,"['brand', 'BlissClub', 'community', 'women', 'activewear']",Minu Margeret,Elevation Capital,2000000,Seed
Blive,2004,Panaji,Tourism,"['B', 'Live', 'electric', 'vehicle', 'tourism']","Samarth Kholkar, Sandeep Mukherjee","Mumbai Angels, DNA Entertainment Networks",1000000,Pre-series A
Blue Tokai Coffee Roasters,2012,New Delhi,Food & Beverages,"['Source', 'roast', 'brew', 'India', 'best']","Matt Chitharanjan, Shivam Shahi, Namrata Asthana",Anicut Angel Fund,2000000,Pre-series B
BlueLearn,2020,Goa,EdTech,"['Building', 'India', 'largest', 'student', 'community']","Harish Uthayakumar, Shreyans Sancheti","100X.VC﻿,﻿ Titan Capital, Rahul Mathur, Gaurav Mandlecha",400000,Pre-seed
Bluepad,2020,Bengaluru,Online Media,"['stop', 'solution', 'aggregated', 'content', ' ']","Sanjyot Bhosale, Devakrishna Asokar, Kishore Garimella","Titan Capital, AngelList's syndicate",200000,Pre-seed
BlueStone,2011,Bengaluru,Jewellery,"['BlueStone', 'India', 'leading', 'destination', 'high']",Gaurav singh kushwaha,Hero Enterprise,30000000,Undisclosed
Blume Ventures,2011,Mumbai,FinTech,"['tech', 'Blume', 'Ventures', 'provides', 'pre']","Karthik Reddy, Sanjay Nath",Avendus,40000000,Undisclosed
BluSapphire Cyber System,2017,Hyderabad,Information Technology,"['BluSapphire', 'Technologies', 'unified', 'cyber', 'defense']",Kiran Kumar Vangaveti,Baring Private Equity India and Dallas Venture Capital,9200000,Series B
boAt,2016,Mumbai,Fashion ,"['boAt', 'lifestyle', 'brand', 'deals', 'fashionable']","Aman Gupta, Sameer Mehta","InnoVen Capital, InnoVen Capita",100000000,PE
boAt,2016,New Delhi,Electronics,"['boAt', 'consumer', 'electronics', 'lifestyle', 'company']","Aman Gupta, Sameer Mehta","Qualcomm Ventures, Warburg Pincus",6000000,Undisclosed
Boingg,2019,Gurugram,Furniture,"['D2C', 'furniture', 'brand']","Neha Indoria, Dhruvan Barar",Inflection Point Ventures,200000,Seed
Bold Finance,2021,Mumbai,FinTech,"['Bold', 'Finance', 'provides', 'Gold', 'Loan']",Durgesh Suthor,Kae Capital and Ishpreet Gandh,1700000,Seed
Bombay Hemp Company,2013,Mumbai,Textiles,"['BOHECO', 'founded', 'research', 'promote', 'industrial']","Avnish Pandya, Delzaad Deolaliwala","Riteesh Mohan Bakshi, Raghav Mohan Bakshi, Achin Kochar",2000000,Undisclosed
Bombay Shaving Company,2015,New Delhi,LegalTech,"['care', 'Bombay', 'Shaving', 'Company', 'consumer']","Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Rajesh Sud, KULDEEP JAIN",2000000,Undisclosed
Bombay Shaving Company,2016,New Delhi,Fashion ,"['care', 'Bombay', 'Shaving', 'Company', 'consumer']","Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Sixth Sense Ventures, Colgate Palmolive",6000000,Undisclosed
Bombay Shaving Company,2015,New Delhi,Consumer Goods,"['Personal', 'care', 'hair', 'removal', 'brand']",Shantanu Deshpande,Gulf Islamic Investments,6000000,Undisclosed
BookingJini,2017,Gurugram,Hospitality,"['line', 'BookingJini', 'strive', 'empower', 'Hotels']","Deepak Dash, Gourab Kumar Nandy, Manoj Pandia, Sibasish Mishra",Mumbai Angels Network,1200000,Pre-series A
Boutique Spirit Brands,2016,New Delhi,Wine & Spirits,"['Boutique', 'Spirit', 'Brands', 'leading', 'Brand']",Rahul Gagerna,"IIFL﻿, ﻿Anicut Angel Fund﻿, ﻿Kae Capital﻿, TradeCred",10000000,Undisclosed
BOX8,2012,Mumbai,Food & Beverages,"['India', 'Largest', 'Desi', 'Meals', 'Brand']","Anshul Gupta, Amit Raj",Tiger Global,40000000,Undisclosed
Braingroom,2015,Chennai,EdTech,"['BrainGroom', 'online', 'marketplace', 'educational', 'recreational']","Madhula Sathyamoorthy, Naliene Ramasamy, Kalaiarsi Periasamy","IAN, Social Alpha, Startup Oasis",200000,Undisclosed
Breathe Well-being,2015,New Delhi,Healthcare,"['Breathe', 'Wellbeing', 'interactive', 'personalized', 'platform']","Aditya Kaicker, Rohan Verma","Stanford Angels and Entrepreneurs India, Anjali Bansal",1000000,Pre-series A
Breathe Well-being,2015,Gurugram,Healthcare,"['Help', 'people', 'prevent', 'manage', 'reverse']","Rohan Verma, Aditya Kaicker",Accel,5500000,Series A
BricSpaces,2018,Bengaluru,Real Estate,"['prop', 'tech', 'company', 'finds', 'customizes']",Madhusudhan,Angel investors,350000,Pre-seed
Broomees,2020,New Delhi,Information Technology,"['Broomees', 'revolutionizing', 'unorganized', 'sector', 'bring']","Vaibhav Agrawal, Saurav Kumar","2 AM VC, Magic Fund",600000,Undisclosed
BrowserStack,2011,Mumbai,Software,"['BrowserStack', 'leading', 'software', 'testing', 'platform']","Nakul Aggarwal, Ritesh Arora",Accel,200000000,Series B
Bueno Finance,2019,Gurugram,FinTech,"['Bueno', 'financial', 'Gig', 'Growth', 'Technologies']","Saurav Gandhi, Sandeep Arora","Goat Capital, JAM Fund",3000000,Seed
Bugbase,2021,Bengaluru,Security,"['India', 'Consolidated', 'Bug', 'Bounty', 'Platform']","Dhruva Goyal, Kathan Desai",Anoop Mathur and Kushal Khandwala,50000,pre-seed
Bugworks,2014,Bengaluru,Biotechnology,"['Path', 'breaking', 'solutions', 'large', 'unmet']",Anand Anandkumar,Lightrock India,18000000,Series B1
BuildNext,2015,Kochi,Construction,"['Homes', 'Crafted', 'Love', 'Data', 'Designed']","Finaz Naha, Gopikrishnan Vadakkevededu",Vineet Kumar and Deep Gupta,400000,Seed
Burger Singh,2014,Gurugram,Food & Beverages,"['Burger', 'Singh', 'India', 'based', 'online']","Kabir Jeet Singh, Nitin Rana, Rahul Seth",VM Salgaocar family office and RB Investments Pte. Ltd.,5100000,SeriesA
Burgerama,2018,Gurugram,Food & Beverages,"['fast', 'casual', 'delivery', 'burger', 'experience']","Kabir Bose, Vivek Prakash, Viraaj Badhwar","Rishab Malik, Atul Singh",700000,Pre-series A
BuyEazzy,2021,New Delhi,Fashion,"['BuyEazzy', 'female', 'focused', 'online', 'group']",Hariher Balasubramanian,Superb Capital and M Venture Partners (MVP,1300000,seed
Buyofuel,2020,Coimbatore,Oil & Energy,"['Buyofuel', 'provides', 'tools', 'information', 'need']",Kishan Karunakaran,Inflection Point Ventures and LetsVenture,13100000,Seed
Buyofuel,2020,Coimbatore,Oil & Energy,"['Green', 'Fuels', 'Marketplace']","Kishan Karunakaran, Venkateswaran Selvan, Sumanth Kumar",Inflection Point Ventures,100000,Seed
BYJUS,2011,Bengaluru,EdTech,"['BYJU', 'educational', 'technology', 'company', 'develops']","Byju Raveendran, Divya Gokulnath","Blackstone Group, ADQ",50000000,Undisclosed
BYJUS,2011,Bengaluru,EdTech,"['BYJU', 'educational', 'technology', 'company', 'develops']","Byju Raveendran, Divya Gokulnath","Tiga Investments, Baron Capital",150000000,Undisclosed
BYJUS,2011,Bengaluru,EdTech,"['BYJU', 'educational', 'technology', 'company', 'develops']","Byju Raveendran, Divya Gokulnath","BlackRock, Owl Ventures",460000000,Series F
BYJUS,2011,Bengaluru,EdTech,"['BYJU', 'educational', 'technology', 'company', 'develops']","Byju Raveendran, Divya Gokulnath","Tiga Investments, Baron Capital",350000000,Undisclosed
BYJUS,2011,Bengaluru,EdTech,"['BYJU', 'educational', 'technology', 'company', 'develops']","Byju Raveendran, Divya Gokulnath","Tiga Investments, Baron Capital",150000000,Undisclosed
BYJUS,2011,Bengaluru,EdTech,"['BYJUS', 'India', 'largest', 'ed', 'tech']","Byju Raveendran, Divya Gokulnath","Oxshott Capital Partners, XN Exponent, Edelweiss",300000000,Undisclosed
Bytebeam,2019,Bengaluru,Internet,"['Bytebeam', 'IoT', 'platform', 'providing', 'solutions']","Bharadwaaj Ramakrishnan, Gautam BT, Ravi Teja",Vijay Pravin Maharajan and Tanmai Gopal,3300000,Seed
ByteLearn,2021,Noida,E-Learning,"['AI', 'powered', 'teaching', 'assistant', '100']",Nishant Sinha,"Aditya Singhal, Nishant Sinha",9500000,Seed
byteXL,2019,Hyderabad,E-Learning,"['ByteXL', 'stop', 'shop', 'self', 'learning']","Sricharan Tadepalli, Karun Tadepalli",Joseph Joy,200000,Undisclosed
Camp K12,2010,Gurugram,EdTech,"['online', 'Camp', 'K12', 'global', 'school']",Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000,Undisclosed
Camp K12,2010,Gurugram,EdTech,"['online', 'Camp', 'K12', 'global', 'school']",Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000,Series A
Cancer Clinics,2014,Telugana,Healthcare,"['Cancer', 'Helpline', 'source', 'information', 'support']","Sonali Srungaram, Sasi Sunkara",Axilor,1500000,Pre-series A
Candes,2015,New Delhi,E-Commerce,"['home', 'appliances', 'Candes', 'company', 'providing']","Sandeep Aggarwal, Vipin Aggarwal","Nitin Passi, Ruchirans Jaipuria",3000000,Undisclosed
Capital Float,2013,Bengaluru,FinTech,"['India', 'leading', 'BNPL', 'digital', 'credit']","Sashank Rishyasringa, Gaurav Hinduja",Lightrock India,50000000,Undisclosed
Capital Float,2013,Bengaluru,FinTech,"['Capital', 'Float', 'online', 'platform', 'provides']","Gaurav Hinduja, Sashank Rishyasringa","Triodos Investment Management, SAIF Partners",6000000,Undisclosed
Captain Fresh,2019,Bengaluru,Logistics,"['B2B', 'marketplace', 'leveraging', 'technology', 'deliver']",Utham Gowda,"Prosus Ventures, Tiger Global",50000000,Series C
Captain Fresh,2019,Bengaluru,Logistics,"['B2B', 'marketplace', 'leveraging', 'technology', 'deliver']",Utham Gowda,"Accel Partners, Matrix India",12000000,Series A
Captain Fresh,2019,Bengaluru,Logistics,"['B2B', 'marketplace', 'leveraging', 'technology', 'deliver']",Utham Gowda,"Tiger Global, Prosus Ventures",40000000,Series B
Captain Fresh,2019,Bengaluru,Fisheries,"['Captain', 'Fresh', 'freshwater', 'fish', 'seafood']",Utham Gowda,"Matrix Partners India, Ankur Capital",3000000,Seed
Carbanio,2017,Hyderabad,B2B Marketplace,"['India', 'largest', 'Chemicals', 'Bazaar', 'buying']","Dr Rafi S, Vijay Devarakonda",Quantico Group USA,1300000,Seed
CARD91,2020,Bengaluru,FinTech,"['Card91', 'offers', 'plug', 'play', 'payment']","Vineet Saxena, Ajay Pandey, Kush Srivastava","Infinity Ventures, Point72 Ventures, Sabre Partners",13000000,Pre-Series A
CareerLabs,2019,Bengaluru,EdTech,"['Aim', 'help', 'students', 'future', 'ready']","PN Santosh, Prasanna Alagesan, Krithika Srinivasan",Global Founders Capital,2200000,Undisclosed
Cars24,2015,Gurugram,Automotive,"['tech', 'CARS24', 'proud', 'organisation', 'looking']","Mehul Agrawal, Vikram Chopra","DST Global, Falcon Edge, SoftBank Vision Fund 2",450000000,Series F
CARS24,2015,Gurugram,Automotive,"['CARS24', 'offers', 'tech', 'enabled', 'marketplace']","Gajendra Jangid, Mehul Agrawal,",Multiples,1300000000,Undisclosed
CarzSo India,2019,Gurugram,Automotive,"['Offer', 'virtual', 'reality', 'cars', 'inside']",Vaibhav Sharma,Mytash,700000,Undisclosed
Casflo,2018,Mumbai,FinTech,"['finance', 'Cashflo', 'startup', 'offers', 'automation']","Ankur Bhageria, Dushyant Agarwal",Elevation Capital and Nitin Gupta,12100000,Series B
CashBook,2020,Gurugram,FinTech,"['CashBook', 'digital', 'record', 'keeping', 'app']","Vivek, Ashutosh Pathak","JAM, Better Tomorrow Ventures",2300000,Seed
CASHe,2016,Mumbai,FinTech,"['CASHe', 'credit', 'enabled', 'financial', 'technology']",Raman,TSLC,10000000,Undisclosed
Cashify,2009,Gurugram,E-Commerce,"['Cashify.in', 'e', 'commerce', 'platform', 'reselling']","Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments",15000000,Undisclosed
Cashkaro,2013,Gurugram,E-Commerce,"['site', 'Cashkaro', 'coupons', 'cashback', 'rewarding']","Rohan Bhargava, Swati Bhargava",Affle and Korea Investment Partners,3000000,SeriesC
CashKaro,2013,Gurugram,E-Commerce,"['site', 'Cashkaro', 'coupons', 'cashback', 'rewarding']","Rohan Bhargava, Swati Bhargava",Affle and Korea Investment Partners,30200000,Series C
Castler,2020,New Delhi,FinTech,"['Castler', 'enables', 'Individual', 'Business', 'create']","Dinesh Kumar, Vineet Kumar Singh, Vineet Singh",Venture Catalysts and 9Unicorns Accelerator Fund,1400000,Seed
Celcius,2020,Mumbai,Logistics,"['Celcius', 'asset', 'light', 'startup', 'web']",Swarup Bose,"Mumbai Angels Network, Huddle, Lumis Partners",500000,Undisclosed
Celebal Technologies,2016,Jaipur,Information Technology,"['Data', 'Celebal', 'Technologies', 'premier', 'software']","Anirudh Kala, Anupam Gupta",Norwest Venture Partners.,2600000,Unknown
Cell Propulsion,2016,Bengaluru,Electrical Vehicle,"['electrification', 'Cell', 'Propulsion', 'fleet', 'company']","Nakul Kukar, Paras Kaushal",growX ventures,2000000,Undisclosed
Cellestial,2019,Hyderabad,Electronics,"['Cellestial', 'E', 'mobility', 'city', 'based']",Siddhartha Durairajan,"Gurj Aujla, Ashik K",500000,Pre-series A
Cercle X,2020,Coimbatore,Enviroment,"['Infinite', 'Cercle', 'parent', 'company', 'group']","Vishnu Vardhaan, Divya Shetty",Inflection Point Ventures,250000,Seed
Chaayos,2012,New Delhi,Food & Beverages,"['Chaayos', 'Chai', 'tea', 'cafe', 'chain']","Nitin Saluja, Raghav Verma",Think Investments and Elevation Capital,85500000,Series C
Chai Waale,2018,Chennai,Food & Beverages,"['wide', 'range', 'exotic', 'flavoured', 'chai']",Vidur Maheswari,"Sunil Sethia, Sunil Kumar Singhvi, Manish Mardia",600000,Undisclosed
Chalo,2014,Mumbai,Mobility,"['India', '1', 'bus', 'transport', 'technology']","Vinayak Bhavnani, Mohit Dubey","Lightrock India, Filter Capital",40000000,Series C
Chalo,2014,Mumbai,Information Technology,"['Chalo', 'free', 'app', 'tracks', 'buses']","Mohit Dubey, Nikhil Aggarwal","Amit Singhal, Raine Ventures",7000000,Undisclosed
Chalo,2014,Mumbai,Information technology,"['Chalo', 'develops', 'transport', 'application', 'delivers']","Dhruv Chopra, Mohit Dubey, Nikhil Aggarwal, Priya Singh, Vinayak Bhavnan",Matrix Partners and Lightrock,61000000,Undiclosed
Chara,2019,Bengaluru,DeepTech,"['free', 'scalable', 'cloud', 'controlled', 'rare']","Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,850000,Seed
CHARGE+ZONE,2018,Vadodara,Automotive,"['charging', 'CHARGE+ZONE', 'tech', 'driven', 'EV']",Kartikey Hariyani,Venture Catalysts,10000000,Undisclosed
Chargebee,2011,Chennai,FinTech,"['SaaS', 'Chargebee', 'recurring', 'billing', 'subscription']","Krish Subramanian, Thiyagarajan T, Rajaraman Santhanam, Saravanan KP","Tiger Global, Sequoia Capital",250000000,Undisclosed
Chargebee,2011,San Francisco,Software,"['Chargebee', 'provides', 'subscription', 'recurring', 'billing']","KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan Thiyagu",Sequoia Capital India and Insight Partners,468200000,Series H
Chargeup,2019,New Delhi,Environment,"[' ', 'Charge', 'offers', 'Battery', 'Service']","Varun Goenka, Ankur Madan","Capital A, Anicut Capital",2500000,Pre-series A
Chattybao,2022,New Delhi,E-Commerce,"['Chattybao', 'platform', 'connects', 'users', 'local']",Kumar Aditya,. Info Edge ventures and Vertex Ventures Southeast Asia & India,500000,Seed
Cheelizza,2014,Mumbai,Food & Beverages,"['Cheelizza', 'India', 'Ka', 'Pizza', 'pure']",Animesh Lodha,Indian Angel Network and Rahul Surana,4110000,Seed
ChefKart,2020,Gurugram,Consumer Goods,"['end', 'kitchen', 'ChefKart', 'aide', 'plans']","Vaibhav Gupta, Arpit Gupta, Aman Gupta","Lead Angels, Titan Capital, Pravega Ventures",300000,Pre-seed
Chingari,2018,Bengaluru,Entertainment,"['unique', 'fun', 'short', 'video', 'app']","Sumit Ghosh, Biswatma Nayak, Aditya Kothari, Deepak Salvi","Republic Capital, Onmobile, JPIN Venture Catalysts",15000000,Series A
Chingari,2018,Bengaluru,Social Media,"['Chingari', 'operates', 'short', 'video', 'platform']",Sumit Ghosh,"FJ Labs, Brian Norgard",13000000,Undisclosed
Chingari,2018,Bengaluru,Entertainment,"['Chingari', 'Bharat', 'Ka', 'Super', 'Entertainment']",Sumit Ghosh,Solana,19000000,Undisclosed
Chirrup,2020,Bengaluru,Gaming,"['Video', 'integrated', 'social', 'gaming', 'platform']","Vipul Garg, Sourav Lashkari, Mehul Mittal","Titan Capital, iSeed, First Cheque, 3.0 Fund.",300000,Pre-seed
Chqbook,2017,New Delhi,FinTech,"['Chqbook', 'fintech', 'startup', 'allows', 'customers']","Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Aavishkaar Venture Capital, YWC Venture Capital",1000000,Undisclosed
Chqbook,2017,Gurugram,FinTech,"['Chqbook.com', 'Indias', 'neobank', 'small', 'business']","Vipul Sharma, Rajat Kumar, Sachin Arora","Aavishkaar Capital, Rajiv Dadlani Group",5000000,Pre-series B
CHUPPS,2016,Mumbai,Fashion,"['D2C', 'footwear', 'brand']","Gaurav Agarwal, Yash Mukhi",Venture Catalysts,1100000,Pre-series A
CityMall,2019,Gurugram,Manufacturing,"['CityMall', 'community', 'commerce', 'platform', 'focused']","Angad Kikla, Naisheel Verdhan",Norwest Venture Partners,75000000,Series C
